CONS_NO,FLAG,Mean,Median,Standard deviation,Variance,Kurtosis,Skew,5%,10%,20%,25%,30%,40%,60%,75%,80%,Error in mean
B67E50BD7F6A0B86FBAD169E63D29FBF,0,3.55897561,3,1.639106686,2.686670727,0.0780003744,0.9994870315,1.72,1.92,2.258,2.39,2.5,2.75,3.384,4.33,5.1,0.0015821493
5CC982EA8EAB4042873AE01FE41C5381,0,3.119463938,2.8,1.195420859,1.429031029,0.2316412545,0.954904353,1.84,1.88,2,2.07,2.195,2.54,3.17,3.8775,4.14,0.0011538811
B3BA9641A46164065790D4DCF513D6BD,0,3.068313725,2.72,1.389679011,1.931207752,2.570874169,1.554542679,1.5095,1.769,2.108,2.2175,2.347,2.54,2.954,3.4025,3.68,0.001341389
D34DEF20B4282142233865322AB5D049,0,3.81769685,3.825,2.423131592,5.87156671,0.4183188734,0.66647137,0.5775,0.77,1.34,1.6675,2.02,3.17,4.32,5.26,5.65,0.0023389301
CCDFA4DC34E70FFD882ADA038232516A,0,0.3477042802,0.23,0.2183660267,0.0476837216,6.476382354,2.235913394,0.19,0.2,0.21,0.21,0.21,0.22,0.242,0.4525,0.49,0.000210778
E884B45D9667DD352F84E5A1091A6BBE,0,2.168576998,2.04,0.6151448946,0.3784032414,1.680101089,1.147807244,1.4,1.51,1.66,1.7125,1.78,1.91,2.19,2.49,2.63,0.0005937692
D4069B2E8C914E23C127ACB2285520B9,0,3.830264966,2.94,2.500220939,6.251104743,0.9958650768,1.352831565,1.359,1.608,1.946,2.07,2.22,2.59,3.39,4.64,5.496,0.0024133407
DA04E81D9C8AC79D98A3025E636EF2D4,0,2.017065112,1.42,1.911268941,3.652948966,1.560919286,1.343901185,0.08,0.09,0.416,0.6,0.774,1.09,1.78,2.94,3.494,0.0018448542
C3D03ACBD2E494E0CD2D1BA8C8C0B3C3,0,0.9275196078,1.22,0.6143204553,0.3773896218,-1.694748507,-0.2253444238,0.11,0.14,0.18,0.22,0.27,0.68,1.38,1.48,1.51,0.0005929734
94A5BBAC622D4CB5BBB1C1DF4FCF927A,0,2.959824047,2.92,0.6530115156,0.4264240395,26.09375866,3.564345379,2.09,2.382,2.59,2.66,2.72,2.83,3.01,3.19,3.28,0.00063032
B72EDFBD41B2F2A4BEFA01195D323960,0,3.261957157,2.92,2.391109786,5.71740601,0.2244975348,0.7104181412,0.1,0.11,1.12,1.405,1.758,2.28,3.57,4.73,5.31,0.002308021
9FCFCF6C1C43DD055D79D34BE03D75BE,0,4.368180058,4.28,0.3218758285,0.1036040489,-0.9820857128,0.2271446149,3.92,3.95,4.1,4.11,4.12,4.23,4.312,4.74,4.76,0.000310691
D8B7D05E6786AE6ED172B89A2C021B9F,0,0.9924951456,1.02,0.3658650405,0.1338572279,-0.3649687387,0.1295368497,0.4245,0.52,0.63,0.69,0.75,0.916,1.1,1.25,1.312,0.0003531516
098BC910E850BFD8FA1CF3B05431C0F2,0,1.628778325,1.56,0.6123981098,0.3750314449,6.253574078,1.025023017,0.757,0.96,1.16,1.22,1.29,1.42,1.7,2.01,2.12,0.0005911179
A22845123261B13F32099A8914281DDD,0,3.54644685,3.15,1.486835126,2.210678693,5.922252085,1.891199688,1.925,2.15,2.51,2.62,2.72,2.95,3.42,4.0025,4.33,0.001435169
2CA833F723B837EFBF835124BE18751C,0,1.745393701,1.44,1.084300979,1.175708613,4.256379345,1.927987317,0.65,0.8,0.99,1.07,1.14,1.3,1.63,1.99,2.18,0.0010466226
0CCF3D8DE1C2321EFE885AB65E7782D2,0,3.971811949,3.58,1.785878635,3.189362498,0.4572857178,0.835532601,1.68,1.9,2.4,2.63,2.87,3.26,4.05,5.01,5.59,0.0017238211
D57587B6DDC87AD2D87EED96BC71C5B6,0,0.4749511719,0.11,1.451439302,2.106676048,26.6112057,4.972596879,0.08,0.09,0.1,0.1,0.1,0.1,0.11,0.13,0.33,0.0014010032
984F88D9E16C4B8C9E244D544EEFD880,0,3.528188976,3.38,1.129845043,1.27654982,1.840256605,1.094066783,2.06,2.29,2.59,2.75,2.865,3.12,3.62,4.0425,4.28,0.001090584
DE46BA513117831017B0D82A7745B2E2,0,1.151259766,1.15,0.3188933009,0.1016929373,0.8958442425,0.0551847343,0.65,0.78,0.91,0.95,1,1.08,1.21,1.33,1.4,0.0003078121
08672B9B7179E2599600550AE0381419,0,1.24199806,1.2,0.4057481212,0.1646315379,17.75644425,2.052314157,0.705,0.79,0.92,0.97,1.02,1.1,1.3,1.47,1.54,0.0003916488
5379816BAC337E9A0C1EC20B1FC6A509,0,3.816801181,3.405,1.784735082,3.185279314,4.482907566,1.309055975,1.5675,1.965,2.4,2.54,2.72,3.04,3.9,4.8925,5.31,0.0017227173
E929DD5C42F4DE05923A7D9EC675FA5C,0,3.921391051,3.83,1.128868987,1.274345191,4.154353196,1.194876557,2.2835,2.627,3.01,3.18,3.36,3.6,4.07,4.5,4.69,0.0010896419
6486FAA9E41C8CDB8E4447EDADF1A9C7,0,2.057406312,2.005,0.3974852821,0.1579945495,0.8772888389,0.2257906087,1.53,1.61,1.72,1.77,1.82,1.92,2.1,2.34,2.44,0.0003836731
32C517628090D2BD4E4ABEC387639B1A,0,1.266797258,1.2,0.5081820994,0.2582490461,1.366975219,0.8018115122,0.51,0.73,0.9,0.96,1.01,1.11,1.29,1.49,1.61,0.0004905233
357813EF3B9BF6891EFCE9C8ED2A0D3A,0,1.383827519,1.38,0.0188408336,0.000354977,56.72259182,-3.756924951,1.3555,1.36,1.37,1.37,1.38,1.38,1.39,1.4,1.4,1.82E-05
B38D77E68B941CDDCA9EB882108B313D,0,0.3005599214,0.27,0.2238801057,0.0501223017,1.32187076,0.9664705663,0.03,0.06,0.09,0.1,0.13,0.18,0.35,0.45,0.48,0.0002161005
E11043E9BC34B3D5C211F0D8C63313DC,0,4.016117647,3.87,0.858029686,0.736214942,1.648038524,0.9637650952,2.9,3.09,3.308,3.42,3.5,3.72,4.08,4.4825,4.612,0.000828214
45B3CFC4687F7651856B12A7F3C50C08,0,1.930195503,1.84,0.4670532189,0.2181387093,18.63964103,2.85397551,1.42,1.5,1.59,1.62,1.66,1.75,1.93,2.15,2.25,0.0004508236
A2D0A02966FF3884DD542CD4761B3E0E,0,2.923659245,2.94,0.3897872209,0.1519340776,1.760582461,-0.2993839635,2.53,2.59,2.62,2.64,2.65,2.72,3.06,3.15,3.18,0.0003762425
CA11D0525FCAB1E9012EB517BBC5C78B,0,0.3795053346,0.21,0.3109478896,0.09668859,-1.120713462,0.6207550587,0.06,0.08,0.11,0.11,0.13,0.16,0.41,0.665,0.73,0.0003001428
5E6150A76E1BD3D4B4EFC4DDDB0F7AB2,0,1.628254122,1.49,0.632786761,0.4004190849,-1.026556961,0.3623999327,0.79,0.88,1,1.08,1.16,1.33,1.75,2.18,2.34,0.000610798
A03EDFD174131E61E15B71EC73F9F99D,0,3.110246305,2.75,2.214978604,4.906130215,-0.2602596799,0.6072435392,0.35,0.56,0.888,1.085,1.39,1.97,3.624,4.8,5.16,0.0021380102
BBACFA0F793AA623EC4ED40D865ACB49,0,1.423300971,1.52,0.3825549329,0.1463482767,0.4987078552,-0.3598820272,0.7845,0.85,1.02,1.1925,1.31,1.38,1.6,1.68,1.71,0.0003692615
5EFE3681AB8484849B7F8F46908C9BA6,0,4.767705078,4.47,1.970549419,3.883065012,0.5275449847,0.7963068434,2.1915,2.556,2.99,3.2175,3.489,3.99,5,5.875,6.272,0.0019020747
6BD838FA2B0B222AC19A3F1A0D3124A3,0,3.090223518,3.08,0.0911238126,0.0083035492,109.502313,-5.715897674,2.984,3.01,3.04,3.05,3.06,3.07,3.1,3.12,3.13,8.80E-05
41D582A42510C2B983DA2E4ADAB555AE,0,2.490234604,2.31,0.8913093909,0.7944324302,0.9000897807,0.9575265387,1.44,1.562,1.72,1.79,1.84,2.028,2.62,3.01,3.202,0.0008603372
571AC420A2E92561987FCC18389B4E86,0,3.361620825,3.225,1.178485114,1.388827164,0.33166708,0.5338501312,1.637,1.96,2.37,2.53,2.671,2.97,3.542,4.0575,4.296,0.0011375339
E336D0A8D2D948EEA0DD4FF82AE09BC1,0,1.55784466,1.37,0.8392761558,0.7043844656,36.89214843,3.901796063,0.79,0.93,1.078,1.13,1.18,1.28,1.48,1.73,1.842,0.0008101121
3061FD35D2006EAC4DFD56F484B064BA,0,3.96496592,3.48,1.910049874,3.64829052,6.116749322,1.835327357,1.89,2.22,2.612,2.73,2.88,3.18,3.906,4.8,5.09,0.0018436775
60F9DD076AB86FC74A9E2F1F7AD281A4,0,4.37835468,3.93,1.202491559,1.445985949,2.90296383,1.526975179,3.13,3.31,3.478,3.56,3.62,3.75,4.24,5.01,5.274,0.0011607061
3EEEA55C2D1E8838A081C4E28D3183C4,0,1.398640777,1.39,0.5533682507,0.3062164209,-0.2084191104,0.2442143386,0.5645,0.71,0.88,0.96,1.04,1.23,1.54,1.79,1.872,0.0005341392
5FEAA366938C6CA48D6B1D4901A69935,0,3.877596059,3.51,2.550247916,6.503764432,2.690619675,1.107135581,0.497,0.718,1.68,2.08,2.382,2.9,4.19,5.42,5.73,0.0024616293
C09737284297871D286F511B85F4C86D,0,4.385913978,4.32,1.151182715,1.325221644,2.746532323,0.5917993665,2.58,3.036,3.45,3.635,3.77,4.04,4.642,5.1,5.29,0.0011111802
E806BEA3521949A131CC640076BDF837,0,1.57556741,1.18,1.360823581,1.851840819,7.534383568,2.418323013,0.175,0.5,0.71,0.805,0.89,1.04,1.38,1.88,2.08,0.0013135363
18D034495C9F63F2013E643A26CBF1CD,0,2.573320274,2.48,1.098831842,1.207431416,14.47571896,2.564800211,1.23,1.48,1.79,1.9,2.03,2.27,2.67,3.03,3.15,0.0010606485
7F26A2B0A3F4C44476510F25E6547F58,0,4.008247822,3.72,1.394576333,1.944843148,8.388043036,1.742152081,2.306,2.622,2.97,3.13,3.26,3.518,4.01,4.67,4.94,0.0013461162
ABD54CCEF8EFF4EA461E9E1C8EF64477,0,3.71111546,3.52,1.375708856,1.892574856,1.178479289,0.6643166235,1.9405,2.271,2.71,2.84,2.963,3.21,3.82,4.3975,4.784,0.0013279043
6B94D1A87B12D5D0903C28C9B220B978,0,1.696732478,1.61,0.9988046633,0.9976107554,0.6294684798,0.6980457157,0.336,0.47,0.74,0.87,1.07,1.3,1.88,2.38,2.56,0.0009640972
6A82B1162E7E91A7557A6899B2AAF3E7,0,0.5514174757,0.52,0.2306532121,0.0532009043,4.11319122,1.298394451,0.25,0.3,0.38,0.41,0.43,0.48,0.57,0.66,0.7,0.0002226382
C2ACC41E6B186FB8DB825991A3D8B854,0,4.850516066,4.73,1.272842756,1.620128681,5.067930983,1.321192796,3.096,3.45,3.9,4.05,4.208,4.51,5.01,5.42,5.61,0.0012286127
0D416089125CACE3344A23D320C849F7,0,0.9745498548,0.95,0.1211900602,0.0146870307,11.96760985,1.639285407,0.75,0.92,0.93,0.93,0.94,0.948,0.96,0.99,1.06,0.0001169788
950ED14AC1ACD8D32CF1205479FA2788,0,1.257073892,1.23,0.2934935619,0.0861384709,-0.7512646981,0.3932973606,0.88,0.92,0.96,0.99,1.03,1.12,1.34,1.47,1.52,0.0002832949
D0D94DA9C3ADF7580A3F2CB555255FA8,0,3.474441205,3.48,0.7298907251,0.5327404705,0.2600895239,0.2242812123,2.38,2.578,2.81,2.91,3,3.252,3.66,3.97,4.09,0.0007045277
4944F41C8B6FD437DF71EC41AC5D2EBB,0,4.171650295,4.21,0.9096668799,0.8274938324,-0.0538975459,-0.1054771606,2.6985,2.964,3.36,3.53,3.68,3.96,4.442,4.8,4.97,0.0008780568
0C7EA3D817D471FD6DE742A28E835362,0,2.762332677,2.65,1.341414433,1.799392681,0.7520737125,0.7427166388,0.7675,1.04,1.67,1.86,2.03,2.36,2.84,3.47,3.78,0.0012948016
6E160A98B7A8E9F4A076BC9942B8D900,0,0.4035317073,0.2,0.506613503,0.2566572414,9.72586076,2.591505326,0.03,0.05,0.08,0.09,0.11,0.15,0.29,0.46,0.602,0.0004890092
908AD51990F8C6F4679D76902DA34521,0,0.6585645005,0.27,0.789168098,0.6227862869,9.219048648,2.744090262,0.15,0.18,0.2,0.2,0.21,0.22,0.44,0.83,0.98,0.0007617453
426E2B949EF5EAC021DE413D86DEC3AF,0,0.4758678501,0.49,0.1381051658,0.0190730368,31.0572037,3.51620634,0.29,0.32,0.36,0.39,0.41,0.45,0.52,0.55,0.56,0.0001333061
CF6443C8C842E0DB78188ABAB57B0A18,0,1.528558909,1.12,1.223895399,1.497919949,20.00867311,3.567666289,0.57,0.65,0.78,0.83,0.89,0.974,1.356,1.83,1.998,0.0011813662
0BD39100430B32CBA5AF14893DB5A731,0,0.5841348974,0.48,0.4278174819,0.1830277978,-0.1987870136,0.6872920444,0.03,0.15,0.19,0.21,0.24,0.34,0.66,0.92,1,0.0004129512
7EDD1CBB6DDB744A3BD9FE65ABCDE697,0,1.408911765,1.38,0.4126033246,0.1702415035,1.763621104,0.662006866,0.7895,0.91,1.05,1.11,1.18,1.29,1.48,1.67,1.77,0.0003982658
185B8C581718E43A82646B924CF3F118,0,2.235078895,2.325,1.211988382,1.468915838,6.270371228,1.401053947,0.53,0.58,1.116,1.46,1.69,2.052,2.56,2.86,2.98,0.001169873
3B945033B62BE426A608D445CBF3A96C,0,4.711720747,4.45,2.199902577,4.839571347,2.009072541,1.240671731,2.198,2.44,2.712,2.98,3.23,3.78,5.006,5.76,6.08,0.0021234581
2101F566B42783853DCF8FE85D373362,0,2.882458698,2.68,1.21727213,1.481751439,4.322649365,1.511256525,1.35,1.648,1.94,2.06,2.2,2.45,2.93,3.46,3.684,0.0011749731
F04B785391EBF9427D114F757CDB76B7,0,2.634873541,2.45,0.8665240659,0.7508639567,0.9566548274,1.011902734,1.55,1.717,1.93,2.03,2.1,2.28,2.63,3.09,3.28,0.0008364132
B658C4B2D04D8DFE4D70D14763703C16,0,4.300563654,4.12,1.621654015,2.629761744,7.012047437,1.510933732,2.114,2.488,2.99,3.16,3.404,3.762,4.488,5.22,5.47,0.0015653031
4F10F6CE512F71458D32EB37DDB59738,0,3.052092794,2.93,0.8045082725,0.6472335606,2.205430998,0.7936387051,1.94,2.152,2.42,2.51,2.606,2.77,3.13,3.55,3.7,0.0007765524
2209A930620188D92B511FBF2FAD2C62,0,1.624898354,1.6,0.4592292312,0.2108914868,7.405165902,1.327108912,1,1.08,1.23,1.29,1.34,1.47,1.73,1.9,1.97,0.0004432715
9C9BC3D7D3EB0AFAEBEDF95FEE42421A,0,6.384451988,6.56,0.5394827308,0.2910416169,34.110107,-4.861470251,5.88,6.02,6.08,6.15,6.23,6.44,6.63,6.69,6.7,0.0005207362
4C09F0A2BE725BFCBCBC4FDB18A006E9,0,0.5600875486,0.65,0.1559707239,0.0243268667,-0.908394716,-0.7503968323,0.31,0.32,0.32,0.33,0.64,0.65,0.65,0.66,0.66,0.0001505509
FD36034382F9050AB9646117E2969CEC,0,0.3283528265,0.33,0.0153119203,0.0002344549,5.849102761,-0.2785237177,0.31,0.31,0.32,0.32,0.32,0.33,0.33,0.34,0.34,1.48E-05
0A481819C11D7B21DEB0F0A099DBCB16,0,2.41859375,2.35,0.5078459436,0.2579075024,1.132314094,0.6319245543,1.7015,1.853,2.03,2.09,2.14,2.24,2.48,2.71,2.82,0.0004901988
3AE29793E2F4300A78E90B4DC92B891A,0,2.414068293,2.08,1.641363445,2.69407396,29.02638577,4.431219932,1.01,1.29,1.53,1.64,1.74,1.906,2.27,2.62,2.802,0.0015843277
04A5867439E4487FBC605BFCE894B6BA,0,2.66294002,2.21,1.504787998,2.264386919,4.199117366,1.844606813,1.178,1.406,1.65,1.74,1.83,2.02,2.42,3.01,3.288,0.0014524981
080EF0A5B28CDFAB6650A920E8AD7B0F,0,3.56126938,4.22,1.201370878,1.443291986,-1.228194592,-0.8042985915,1.7,1.71,1.73,1.86,3.438,4.18,4.24,4.27,4.39,0.0011596244
17077804999B4D20E811F524C3B4EC86,0,1.540670554,1.21,1.095952421,1.201111709,2.068615451,1.248072307,0.4,0.48,0.61,0.66,0.73,0.92,1.588,2.19,2.438,0.0010578691
296FCEA5957ECD94AD5149F7162BF4F9,0,0.2821400778,0.27,0.1474875329,0.0217525724,17.177589,3.860915848,0.1435,0.19,0.23,0.2375,0.24,0.25,0.27,0.29,0.29,0.0001423625
BDE7339B71A631FC6B295EE7F387DBB6,0,2.088375486,1.95,0.7604170351,0.5782340672,16.00920855,2.457869351,1.23,1.36,1.53,1.59,1.66,1.8,2.11,2.42,2.54,0.0007339933
A5073C322D3B92981EEC3B53B9C0D693,0,4.164764706,3.92,1.751456885,3.06760122,4.314752952,1.508399981,1.9295,2.31,2.7,2.97,3.21,3.58,4.314,4.9925,5.29,0.0016905954
76478988FFA485073DBE9EF9AB515D48,0,4.828681641,4.185,2.50616786,6.280877341,0.3584430374,0.8099484425,1.1645,2.41,3.01,3.27,3.44,3.79,4.61,6.1075,7.01,0.0024190809
E528E1D979FB9FD7ED9A7B7191D878C1,0,5.485976447,5.54,2.067854659,4.276022891,0.0950945067,0.1628360459,2.048,2.408,3.636,4.205,4.574,5.12,6.066,6.8,7.098,0.0019959987
C41FE478C528F80B0E6F7A8A02FED021,0,4.645893204,4.42,1.32654191,1.759713439,-0.1348244165,0.2996686227,2.76,3.02,3.54,3.71,3.857,4.13,4.9,5.5475,5.88,0.0012804459
D2F9E01FCA66ABBD5365585797F5CEDC,0,0.1029458128,0.07,0.1269886855,0.0161261263,203.8198066,10.99892792,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.000122576
A5325FFF8A32275AD59FC5991FDE80C4,0,1.385320388,1.36,0.2733040189,0.0746950868,-0.4468660861,-0.6986043756,0.91,0.92,1.32,1.33,1.34,1.35,1.42,1.65,1.66,0.000263807
D3CA1E296C52D1B2524E9DCCE4615031,0,1.791088435,1.13,1.693002875,2.866258736,8.61069435,2.65160945,0.62,0.74,0.9,0.94,0.98,1.05,1.25,1.56,2.234,0.0016341727
D9324667D52328CDD54A649A7C9C4860,0,3.505839058,3.36,1.584709154,2.511303102,8.227488556,1.566697316,1.289,1.664,2.12,2.405,2.65,3.032,3.708,4.39,4.644,0.001529642
2A39E114BF7AE81FE003803DAD15E3A4,0,5.127120623,5.1,1.305542032,1.704439997,2.545328891,0.3375975766,3.16,3.657,4.164,4.3675,4.551,4.848,5.37,5.82,6.03,0.0012601757
933FFBCFDFB69DD207F85AEA8D19E953,0,2.315258537,2.2,0.7182538753,0.5158886294,1.358646784,0.8825302053,1.31,1.53,1.75,1.83,1.902,2.05,2.37,2.66,2.802,0.0006932952
819B6F7D1CBF0C8442F869FAE3F96406,0,3.560254154,3.48,0.8201233344,0.6726022837,1.801056893,0.7327855385,2.34,2.562,2.91,3.03,3.126,3.33,3.68,4.02,4.16,0.0007916248
AC6D6DB897955B95861A928FE45DEF43,0,3.709393346,3.705,1.638912417,2.686033912,0.5026000018,0.5392805098,1.4215,1.65,2.1,2.3025,2.65,3.294,4.1,4.7,4.94,0.0015819618
0A62B72BF6127911E480D098C2B4578E,0,4.019214917,3.75,2.195056191,4.818271682,0.3192492803,0.5621229401,0.32,1.55,2.16,2.385,2.69,3.21,4.428,5.445,5.798,0.0021187801
A1CE43C4E2A2A0445F3E8C06C7DBACA9,0,4.089044335,4.04,0.82560191,0.6816185138,2.819588387,0.9504396269,2.917,3.09,3.39,3.53,3.66,3.87,4.23,4.555,4.67,0.000796913
84B77AEDB6A8BC59FC56C7443C09E9BE,0,5.356208251,5.28,0.6661592197,0.443768106,5.881136233,-0.3274734542,4.49,4.65,4.854,4.92,5.01,5.148,5.42,5.7375,5.87,0.0006430108
2358073CA2BD380CEDE46A84D1C075AE,0,1.357899322,1.35,0.0574569398,0.0033012999,73.25628812,-5.594090918,1.3,1.31,1.32,1.33,1.34,1.34,1.37,1.39,1.41,5.55E-05
C147EB7DEC457C2F51D55042C5D821E4,0,4.357144259,4.22,1.154984665,1.333989577,0.6715063931,0.6530217567,2.729,2.988,3.39,3.56,3.73,3.96,4.518,5.015,5.22,0.0011148501
1CE42DCD5B59DE4FF826612A17BA85A5,0,2.147679449,1.88,1.140172025,1.299992248,5.228062867,2.028749139,0.97,1.136,1.342,1.43,1.54,1.71,2.06,2.43,2.68,0.0011005521
ED7128263961382BDAADF0B40587BE7F,0,2.574317739,2.37,1.194967158,1.42794651,3.069190347,1.361828829,1.0325,1.2,1.66,1.8,1.925,2.17,2.61,3.07,3.33,0.0011534432
BA2F570D6D6D6C6B74C6948E9519594C,0,2.737109375,1.49,3.385990753,11.46493338,2.619364115,1.995037961,0.49,0.62,0.82,0.9475,1.06,1.25,1.668,2.08,2.294,0.0032683308
3394878BB5E2BE6F5A4F470FF7444602,0,0.4280490196,0.43,0.0135183352,0.0001827454,140.2359745,-10.00690666,0.42,0.42,0.42,0.42,0.43,0.43,0.43,0.43,0.43,1.30E-05
891484BEAC8BA0DAA1F06EFF22173F40,0,0.2080291262,0.22,0.0486443942,0.0023662771,20.33598719,2.358088213,0.13,0.14,0.18,0.2,0.2,0.21,0.22,0.22,0.23,4.70E-05
64ECA09BF7DA5FDF1FC0DE335DA201AF,0,2.598082192,2.49,1.025595377,1.051845878,14.04887311,2.557447545,1.46,1.59,1.76,1.86,1.953,2.204,2.766,3.15,3.248,0.0009899569
C82B9387B4D7294310693296360ED377,0,1.655157171,1.58,0.7946675927,0.6314965829,0.332104767,0.5999672498,0.5285,0.707,0.93,1.03,1.13,1.34,1.81,2.15,2.316,0.0007670537
